ID,Symbol,Category
comp-compoundd,COMP,Decentralized Finance
kta-keeta,KTA,Decentralized Finance
aioz-aioz-network,AIOZ,"Data, Oracles & Storage"
ebtc-etherfi-staked-btc,EBTC,Liquid Staking
beam-beam-eth,BEAM,"Consumer (e.g. Gaming, NFTs)"
w-wormhole,W,Layer 2s & Scaling
usr-resolv-usr,USR,Decentralized Finance
ath14-aethir,ATH,Decentralized Finance
ohmv2-olympus-v2,OHMv2,Decentralized Finance
xcn-chain,XCN,"Data, Oracles & Storage"
cvx-convex-finance,CVX,Decentralized Finance
